ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20140930,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-09-30,2014-10-06,1
20140923,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-09-23,2014-09-29,1
20140916,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-09-16,2014-09-22,1
20140909,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-09-09,2014-09-15,1
20140902,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-09-02,2014-09-08,1
20140826,06025,Imperial County,CA,0.00,100.00,100.00,70.49,0.04,0.00,2014-08-26,2014-09-01,1
20140819,06025,Imperial County,CA,0.00,100.00,100.00,95.38,0.04,0.00,2014-08-19,2014-08-25,1
20140812,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.04,0.00,2014-08-12,2014-08-18,1
20140805,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.04,0.00,2014-08-05,2014-08-11,1
20140729,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.04,0.00,2014-07-29,2014-08-04,1
20140722,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.04,0.00,2014-07-22,2014-07-28,1
20140715,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.04,0.00,2014-07-15,2014-07-21,1
20140708,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2014-07-08,2014-07-14,1
20140701,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2014-07-01,2014-07-07,1
20140624,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2014-06-24,2014-06-30,1
20140617,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2014-06-17,2014-06-23,1
20140610,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2014-06-10,2014-06-16,1
20140603,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2014-06-03,2014-06-09,1
20140527,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2014-05-27,2014-06-02,1
20140520,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2014-05-20,2014-05-26,1
20140513,06025,Imperial County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2014-05-13,2014-05-19,1
20140506,06025,Imperial County,CA,0.00,100.00,100.00,70.93,0.00,0.00,2014-05-06,2014-05-12,1
20140429,06025,Imperial County,CA,0.00,100.00,100.00,71.53,0.00,0.00,2014-04-29,2014-05-05,1
20140422,06025,Imperial County,CA,0.00,100.00,100.00,71.53,0.00,0.00,2014-04-22,2014-04-28,1
20140415,06025,Imperial County,CA,0.00,100.00,93.09,71.53,0.00,0.00,2014-04-15,2014-04-21,1
20140408,06025,Imperial County,CA,0.00,100.00,93.21,71.53,0.00,0.00,2014-04-08,2014-04-14,1
